POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LATITUDE,LONGITUDE
354-20160,-,0,Grey,SS,Y,N,SFMTA,ON,0,2016,CHESTNUT ST,3977000,Area 5,Marina,37.8007984,-122.4368696
354-21030,-,0,Green,SS,Y,N,SFMTA,ON,0,2103,CHESTNUT ST,3979000,Area 5,Marina,37.8005224,-122.4380666
354-21160,-,0,Yellow,SS,Y,N,SFMTA,ON,0,2116,CHESTNUT ST,3979000,Area 5,Marina,37.8005888,-122.438525
363-05250,-,0,Grey,SS,N,N,SFMTA,ON,0,525,COLUMBUS AVE,4295000,Area 3,,37.8000533,-122.4099854
363-05270,-,0,Grey,SS,N,N,SFMTA,ON,0,527,COLUMBUS AVE,4295000,Area 3,,37.8000875,-122.4100349
464-04120,-,0,Grey,SS,Y,N,SFMTA,ON,0,412,HAYES ST,6816000,Area 5,Civic Center,37.7768776,-122.4235122
464-04200,-,0,Grey,SS,Y,N,SFMTA,ON,0,420,HAYES ST,6816000,Area 5,Civic Center,37.7768342,-122.423847
359-09240,-,0,Grey,SS,N,N,SFMTA,ON,0,924,CLAY ST,4093000,Area 3,,37.7939896,-122.4087761
324-11041,324-11040,1,Black,MS,N,N,SFMTA,ON,0,1104,BATTERY ST,2767000,MC3,,37.8015415,-122.4015675
324-08080,-,0,Grey,SS,N,N,SFMTA,ON,0,808,BATTERY ST,2763000,Area 3,,37.79880291,-122.4010146
464-05130,-,0,Grey,SS,Y,N,SFMTA,ON,0,513,HAYES ST,6817000,Area 5,Civic Center,37.7765466,-122.4251311
607-32220,-,0,Grey,SS,Y,N,SFMTA,ON,0,3222,PIERCE ST,10445000,Area 5,Marina,37.8000211,-122.4393882
652-32030,-,0,Grey,SS,Y,N,SFMTA,ON,0,3203,SCOTT ST,11715000,Area 5,Marina,37.7994166,-122.4411104
652-32090,-,0,Yellow,SS,Y,N,SFMTA,ON,0,3209,SCOTT ST,11715000,Area 5,Marina,37.7995751,-122.4411433
209-04370,-,0,Grey,SS,N,N,SFMTA,ON,0,437,09TH ST,458000,Area 3,,37.7717494,-122.4089402
209-05010,-,0,Grey,SS,N,N,SFMTA,ON,0,501,09TH ST,459000,Area 3,,37.7712516,-122.4083153
209-05070,-,0,Grey,SS,N,N,SFMTA,ON,0,507,09TH ST,459000,Area 3,,37.7711418,-122.4081773
352-05460,-,0,Grey,SS,N,N,SFMTA,ON,0,546,CASTRO ST,3791000,Area 3,,37.759436,-122.434965
324-09110,-,0,Grey,SS,N,N,SFMTA,ON,0,911,BATTERY ST,2764000,Area 3,,37.79991691,-122.4014009
443-02030,-,0,Grey,SS,Y,N,SFMTA,ON,0,203,GOUGH ST,6315000,Area 5,Civic Center,37.7751655,-122.4227179
384-15260,-,0,Green,SS,N,N,SFMTA,ON,0,1526,DIVISADERO ST,4812201,Area 3,,37.7841032,-122.4395281
210-03090,-,0,Grey,SS,N,N,SFMTA,ON,0,309,10TH ST,488000,Area 3,,37.7725929,-122.4124029
210-03300,-,0,Grey,SS,N,N,SFMTA,ON,0,330,10TH ST,488000,Area 3,,37.7721762,-122.4121735
210-03610,-,0,Grey,SS,N,N,SFMTA,ON,0,361,10TH ST,489000,Area 3,,37.7717348,-122.4113273
590-01240,-,0,Grey,SS,Y,N,SFMTA,ON,0,124,OAK ST,9751000,Area 5,Civic Center,37.7752007,-122.4217101
605-00350,-,0,Grey,SS,N,N,SFMTA,ON,0,35,PAGE ST,10169000,Area 5,Civic Center,37.7740743,-122.4220676
442-07040,-,0,Grey,SS,Y,N,SFMTA,ON,0,704,GOLDEN GATE AVE,6267000,Area 5,Civic Center,37.7808612,-122.4223039
415-31110,-,0,Yellow,SS,N,N,SFMTA,ON,0,3111,FILLMORE ST,5563000,Area 5,Marina,37.7983791,-122.4358185
210-04580,-,0,Grey,SS,N,N,SFMTA,ON,0,458,10TH ST,490000,Area 3,,37.7703797,-122.4099214
327-01210,-,0,Grey,SS,N,N,SFMTA,ON,0,121,BROADWAY,3144000,Area 3,,37.7985614,-122.4005556
327-03130,-,0,Grey,SS,N,N,SFMTA,ON,0,313,BROADWAY,3146000,Area 3,,37.7982882,-122.4027096
442-07380,-,0,Green,SS,Y,N,SFMTA,ON,0,738,GOLDEN GATE AVE,6267000,Area 5,Civic Center,37.7807271,-122.423357
442-07400,-,0,Grey,SS,Y,N,SFMTA,ON,0,740,GOLDEN GATE AVE,6267000,Area 5,Civic Center,37.7807173,-122.4234334
440-39160,-,0,Grey,SS,N,N,SFMTA,ON,0,3916,GEARY BLVD,6059201,Area 3,,37.7812738,-122.4616682
330-09600,-,0,Grey,SS,N,N,SFMTA,ON,0,960,BRANNAN ST,3089000,Area 3,,37.7702134,-122.4069567
327-05180,-,0,Yellow,SS,N,N,SFMTA,ON,0,518,BROADWAY,3151000,Area 3,,37.7980188,-122.4060832
415-24010,-,0,Grey,SS,Y,N,SFMTA,ON,0,2401,FILLMORE ST,5556000,Area 5,Fillmore,37.7916949,-122.4344692
663-33240,-,0,Grey,SS,Y,N,SFMTA,ON,0,3324,STEINER ST,12156000,Area 5,Marina,37.8003768,-122.4377752
359-16350,-,0,Grey,SS,N,N,SFMTA,ON,0,1635,CLAY ST,4105000,Area 3,,37.7924254,-122.4202973
359-17260,-,0,Grey,SS,N,N,SFMTA,ON,0,1726,CLAY ST,4106000,Area 3,,37.7923482,-122.4217526
650-24270,-,0,Grey,SS,Y,N,SFMTA,ON,0,2427,SACRAMENTO ST,11255000,Area 5,Fillmore,37.7898571,-122.4334405
226-34360,-,0,Grey,SS,N,N,SFMTA,ON,0,3436,26TH ST,1528000,Area 3,,37.7489981,-122.4196167
356-33120,-,0,Grey,SS,N,N,SFMTA,ON,0,3312,CESAR CHAVEZ ST,2488201,Area 3,,37.7483048,-122.4164395
415-19050,-,0,Grey,SS,Y,N,SFMTA,ON,0,1905,FILLMORE ST,5550000,Area 5,Fillmore,37.7872292,-122.4335698
415-19280,-,0,Yellow,SS,Y,N,SFMTA,ON,0,1928,FILLMORE ST,5551000,Area 5,Fillmore,37.7878231,-122.4335536
613-06910,-,0,Grey,SS,N,N,SFMTA,ON,0,691,PORTOLA DR,10615102,Area 3,,37.7445165,-122.4529817
440-29040,-,0,Grey,SS,N,N,SFMTA,ON,0,2904,GEARY BLVD,6048201,Area 3,,37.7822171,-122.4503799
440-29200,-,0,Grey,SS,N,N,SFMTA,ON,0,2920,GEARY BLVD,6048201,Area 3,,37.7821447,-122.4509488
470-16050,-,0,Grey,SS,N,N,SFMTA,ON,0,1605,HOWARD ST,7059000,Area 3,,37.7715027,-122.416943
470-16130,-,0,Grey,SS,N,N,SFMTA,ON,0,1613,HOWARD ST,7059000,Area 3,,37.771291,-122.4170723
614-10070,-,0,Grey,SS,N,N,SFMTA,ON,0,1007,POST ST,10639000,Area 3,,37.7869268,-122.4186152
502-00160,-,0,Grey,SS,N,N,SFMTA,ON,0,16,JONES ST,7563000,Area 2,,37.7816058,-122.4120549
502-00180,-,0,Grey,SS,N,N,SFMTA,ON,0,18,JONES ST,7563000,Area 2,,37.7816558,-122.4120654
324-12140,-,0,Grey,SS,N,N,SFMTA,ON,0,1214,BATTERY ST,2768000,Area 3,,37.8024343,-122.4017384
440-34130,-,0,Grey,SS,N,N,SFMTA,ON,0,3413,GEARY BLVD,6054101,Area 3,,37.7812659,-122.4557939
470-16570,-,0,Yellow,SS,N,N,SFMTA,ON,0,1657,HOWARD ST,12018101,Area 3,,37.7702818,-122.4175174
470-15100,-,0,Grey,SS,N,N,SFMTA,ON,0,1510,HOWARD ST,7057000,Area 3,,37.7729075,-122.4159397
612-22310,-,0,Grey,SS,N,N,SFMTA,ON,0,2231,POLK ST,10578000,Area 3,,37.7975428,-122.4221694
612-24120,-,0,Yellow,SS,N,N,SFMTA,ON,0,2412,POLK ST,10580000,Area 3,,37.7991118,-122.4223295
444-12160,-,0,Yellow,SS,N,N,SFMTA,ON,0,1216,GRANT AVE,6402000,Area 3,,37.7986844,-122.4071348
419-01050,-,0,Grey,SS,Y,N,SFMTA,ON,0,105,FRANKLIN ST,5798000,Area 5,Civic Center,37.7754904,-122.4210995
563-05360,-,0,Grey,SS,Y,N,SFMTA,ON,0,536,MCALLISTER ST,8895000,Area 5,Civic Center,37.7799964,-122.421543
446-02180,-,0,Grey,SS,N,N,SFMTA,ON,0,218,GROVE ST,6555000,Area 5,Civic Center,37.7781881,-122.4207701
331-06630,-,0,Grey,SS,Y,N,SFMTA,ON,0,663,BRYANT ST,3285000,Area 5,South Embarcadero,37.7782731,-122.3995383
224-40160,-,0,Grey,SS,Y,N,SFMTA,ON,0,4016,24TH ST,1362000,Area 3,,37.7514412,-122.4325555
224-40180,-,0,Grey,SS,Y,N,SFMTA,ON,0,4018,24TH ST,1362000,Area 3,,37.7514373,-122.4326203
360-09260,-,0,Grey,SS,N,N,SFMTA,ON,0,926,CLEMENT ST,4159000,Area 3,,37.7827961,-122.4693426
125-12960,-,0,Grey,SS,N,N,SFMTA,ON,0,1296,25TH AVE,1381000,Area 3,,37.7634943,-122.4834994
224-40260,-,0,Grey,SS,Y,N,SFMTA,ON,0,4026,24TH ST,1362000,Area 3,,37.7514231,-122.432856
224-40330,-,0,Grey,SS,Y,N,SFMTA,ON,0,4033,24TH ST,1362000,Area 3,,37.7513079,-122.4329389
831-04540,831-04006,54,Grey,MS,N,N,PORT,ON,0,454,EMBARCADERO SOUTH,12549101,Area 5,South Embarcadero,37.7880393,-122.3880918
831-05280,831-05004,28,Grey,MS,N,N,PORT,ON,0,528,EMBARCADERO SOUTH,12548101,Area 5,South Embarcadero,37.7862142,-122.3881424
831-05480,831-05006,48,Grey,MS,N,N,PORT,ON,0,548,EMBARCADERO SOUTH,12548101,Area 5,South Embarcadero,37.7856422,-122.3881882
360-11220,-,0,Grey,SS,N,N,SFMTA,ON,0,1122,CLEMENT ST,4161000,Area 3,,37.782701,-122.4714017
360-21420,-,0,Grey,SS,N,N,SFMTA,ON,0,2142,CLEMENT ST,4172000,Area 3,,37.7821897,-122.4825568
360-22130,-,0,Grey,SS,N,N,SFMTA,ON,0,2213,CLEMENT ST,4173000,Area 3,,37.7820264,-122.4832449
826-06320,826-06002,32,Grey,MS,N,N,PORT,ON,0,632,DELANCEY ST,117000,Area 5,South Embarcadero,37.7833258,-122.3896457
826-06520,826-06002,52,Grey,MS,N,N,PORT,ON,0,652,DELANCEY ST,117000,Area 5,South Embarcadero,37.7831134,-122.3893743
826-06680,826-06002,68,Grey,MS,N,N,PORT,ON,0,668,DELANCEY ST,117000,Area 5,South Embarcadero,37.7829458,-122.3891631
360-18060,-,0,Grey,SS,N,N,SFMTA,ON,0,1806,CLEMENT ST,4169000,Area 3,,37.7823676,-122.478711
219-41070,-,0,Green,SS,N,N,SFMTA,ON,0,4107,19TH ST,985000,Area 3,,37.7592191,-122.4352421
352-04190,-,0,Yellow,SS,N,N,SFMTA,ON,0,419,CASTRO ST,3790000,Area 3,,37.7618194,-122.4349838
352-04220,-,0,Grey,SS,N,N,SFMTA,ON,0,422,CASTRO ST,3790000,Area 3,,37.7618198,-122.4351868
831-02120,-,0,Grey,SS,Y,N,PORT,ON,0,212,EMBARCADERO SOUTH,12551102,Area 5,Downtown,37.791841,-122.3911059
106-03150,-,0,Green,SS,N,N,SFMTA,ON,0,315,06TH AVE,316000,Area 3,,37.7824448,-122.4644567
360-18120,-,0,Grey,SS,N,N,SFMTA,ON,0,1812,CLEMENT ST,4169000,Area 3,,37.7823619,-122.4788332
122-03930,-,0,Grey,SS,N,N,SFMTA,ON,0,393,22ND AVE,1134000,Area 3,,37.7805379,-122.4816115
367-01050,-,0,Grey,SS,N,N,SFMTA,ON,0,105,COLLINGWOOD ST,4270000,Area 3,,37.7606145,-122.4360403
831-07280,831-07004,28,Grey,MS,N,N,PORT,ON,0,728,KING ST,7831101,Area 5,South Embarcadero,37.7809914,-122.3886524
123-03980,-,0,Grey,SS,N,N,SFMTA,ON,0,398,23RD AVE,1213000,Area 3,,37.7804388,-122.4825435
125-04940,-,0,Grey,SS,N,N,SFMTA,ON,0,494,25TH AVE,1375000,Area 3,,37.7804485,-122.4846731
127-05040,-,0,Grey,SS,N,N,SFMTA,ON,0,504,27TH AVE,1547000,Area 3,,37.7797634,-122.4867894
128-05060,-,0,Grey,SS,N,N,SFMTA,ON,0,506,28TH AVE,1579000,Area 3,,37.7796672,-122.4878553
116-03940,-,0,Grey,SS,N,N,SFMTA,ON,0,394,16TH AVE,672000,Area 3,,37.780866,-122.4750508
355-02060,-,0,Grey,SS,N,N,SFMTA,ON,0,206,CHURCH ST,4010000,Area 3,,37.7670777,-122.4290175
700-02250,-,0,Black,SS,N,N,SFMTA,ON,0,225,VALENCIA ST,13055000,MC3,,37.7692114,-122.4221937
214-02020,-,0,Grey,SS,N,N,SFMTA,ON,0,202,14TH ST,582000,Area 3,,37.7684505,-122.417965
864-04720,864-04004,72,Grey,MS,N,N,PORT,ON,0,472,SPEAR ST,12048000,Area 5,South Embarcadero,37.7879975,-122.3885005
119-04080,-,0,Green,SS,N,N,SFMTA,ON,0,408,19TH AVE,905000,Area 3,,37.7800784,-122.4782124
831-02380,-,0,Grey,SS,Y,N,PORT,ON,0,238,EMBARCADERO SOUTH,12551102,Area 5,Downtown,37.7911522,-122.3907039
831-03290,-,0,Grey,SS,Y,N,PORT,ON,0,329,EMBARCADERO SOUTH,12550202,Area 5,South Embarcadero,37.7904267,-122.3891915
360-04270,-,0,Yellow,SS,N,N,SFMTA,ON,0,427,CLEMENT ST,4154000,Area 3,,37.7828906,-122.464049
321-32150,-,0,Grey,SS,N,N,SFMTA,ON,0,3215,BALBOA ST,2678000,Area 3,,37.7758168,-122.4935968
818-01920,818-01006,92,Grey,MS,N,N,PORT,ON,0,192,BRANNAN ST,3071000,Area 5,South Embarcadero,37.7837839,-122.3897782
830-05560,-,0,Black,SS,Y,N,PORT,ON,0,556,EMBARCADERO NORTH,12556102,PortMC1,,37.8009102,-122.3993977
350-32330,-,0,Grey,SS,N,N,SFMTA,ON,0,3233,CALIFORNIA ST,3566000,Area 3,,37.7870257,-122.4480204
321-36160,-,0,Grey,SS,N,N,SFMTA,ON,0,3616,BALBOA ST,2682000,Area 3,,37.7757631,-122.4977819
830-06660,-,0,Grey,SS,Y,N,PORT,ON,0,666,EMBARCADERO NORTH,12556102,Port 3,,37.8027147,-122.4009935
830-06720,-,0,Grey,SS,Y,N,PORT,ON,0,672,EMBARCADERO NORTH,12556102,Port 3,,37.8029773,-122.4012287
831-04130,831-04001,13,Grey,MS,N,N,PORT,ON,0,413,EMBARCADERO SOUTH,12549201,Area 5,South Embarcadero,37.7892824,-122.388024
831-04430,831-04003,43,Grey,MS,N,N,PORT,ON,0,443,EMBARCADERO SOUTH,12549201,Area 5,South Embarcadero,37.7884178,-122.387726
321-37110,-,0,Yellow,SS,N,N,SFMTA,ON,0,3711,BALBOA ST,2683000,Area 3,,37.7755759,-122.4988677
121-17550,-,0,Grey,SS,N,N,SFMTA,ON,0,1755,21ST AVE,1084000,Area 3,,37.7542858,-122.4786947
122-18040,-,0,Grey,SS,N,N,SFMTA,ON,0,1804,22ND AVE,1145000,Area 3,,37.7539558,-122.479608
105-03970,-,0,Grey,SS,N,N,SFMTA,ON,0,397,05TH AVE,279000,Area 3,,37.7812848,-122.4632971
384-06130,-,0,Grey,SS,N,N,SFMTA,ON,0,613,DIVISADERO ST,4803101,Area 3,,37.7753819,-122.4379878
612-24300,-,0,Grey,SS,N,N,SFMTA,ON,0,2430,POLK ST,10580000,Area 3,,37.7994246,-122.4223927
503-01950,-,0,Grey,SS,N,N,SFMTA,ON,0,195,JORDAN AVE,7617000,Area 3,,37.7816416,-122.4567334
612-13010,-,0,Grey,SS,N,N,SFMTA,ON,0,1301,POLK ST,10567000,Area 3,,37.7888045,-122.4204067
384-07090,-,0,Grey,SS,N,N,SFMTA,ON,0,709,DIVISADERO ST,4804101,Area 3,,37.7762286,-122.4381639
500-15310,-,0,Grey,SS,N,N,SFMTA,ON,0,1531,JACKSON ST,7395000,Area 3,,37.7941692,-122.4207813
500-15370,-,0,Grey,SS,N,N,SFMTA,ON,0,1537,JACKSON ST,7395000,Area 3,,37.7941406,-122.4210071
350-24170,-,0,Yellow,SS,Y,N,SFMTA,ON,0,2417,CALIFORNIA ST,3558000,Area 5,Fillmore,37.7887504,-122.4343981
354-22090,-,0,Grey,SS,Y,N,SFMTA,ON,0,2209,CHESTNUT ST,3980000,Area 5,Marina,37.8002858,-122.4399349
354-23070,-,0,Yellow,SS,Y,N,SFMTA,ON,0,2307,CHESTNUT ST,3982000,Area 5,Marina,37.800088,-122.4414927
326-08060,-,0,Grey,SS,Y,N,SFMTA,ON,0,806,BEACH ST,2847000,Area 5,Fisherman's Wharf,37.8064539,-122.4225443
326-02060,-,0,Grey,SS,Y,N,SFMTA,ON,0,206,BEACH ST,2840000,Area 5,Fisherman's Wharf,37.8077004,-122.4126989
562-25180,-,0,Grey,SS,Y,N,SFMTA,ON,0,2518,MASON ST,8839000,Area 5,Fisherman's Wharf,37.8071601,-122.4138436
363-13510,-,0,Grey,SS,Y,N,SFMTA,ON,0,1351,COLUMBUS AVE,4308000,Area 5,Fisherman's Wharf,37.8066154,-122.4194943
542-30240,-,0,Grey,SS,Y,N,SFMTA,ON,0,3024,LARKIN ST,8157000,Area 5,Fisherman's Wharf,37.8063028,-122.4221014
616-24230,-,0,Grey,SS,Y,N,SFMTA,ON,0,2423,POWELL ST,10705000,Area 5,Fisherman's Wharf,37.8075072,-122.4123665
681-26040,-,0,Grey,SS,Y,N,SFMTA,ON,0,2604,TAYLOR ST,12464000,Area 5,Fisherman's Wharf,37.8065638,-122.4154062
681-26060,-,0,Grey,SS,Y,N,SFMTA,ON,0,2606,TAYLOR ST,12464000,Area 5,Fisherman's Wharf,37.8066258,-122.4154185
681-27080,-,0,Grey,SS,Y,N,SFMTA,ON,0,2708,TAYLOR ST,12465000,Area 5,Fisherman's Wharf,37.8076032,-122.4156151
325-03210,-,0,Grey,SS,Y,N,SFMTA,ON,0,321,BAY ST,2775000,Area 5,Fisherman's Wharf,37.8056561,-122.4127289
325-05320,-,0,Grey,SS,Y,N,SFMTA,ON,0,532,BAY ST,2777000,Area 5,Fisherman's Wharf,37.8053415,-122.4164394
562-24100,-,0,Grey,SS,Y,N,SFMTA,ON,0,2410,MASON ST,8838000,Area 5,Fisherman's Wharf,37.8060178,-122.4136084
681-25120,-,0,Grey,SS,Y,N,SFMTA,ON,0,2512,TAYLOR ST,12463000,Area 5,Fisherman's Wharf,37.8058325,-122.4152557
330-03300,-,0,Black,SS,Y,N,SFMTA,ON,0,330,BRANNAN ST,3075000,Area 5,South Embarcadero,37.78145551,-122.3927176
350-04360,-,0,Yellow,SS,N,N,SFMTA,ON,0,436,CALIFORNIA ST,3529000,Area 5,Downtown,37.7929674,-122.4023347
593-00031,593-00030,1,Black,MS,N,N,SFMTA,ON,0,3,OFARRELL ST,9720000,Area 5,Downtown,37.7867431,-122.4050872
863-15260,-,0,Grey,SS,Y,N,PORT,ON,0,1526,SANSOME ST,11561000,Port 4,,37.8047886,-122.4034192
111-03940,-,0,Grey,SS,N,N,SFMTA,ON,0,394,11TH AVE,495000,Area 3,,37.7811483,-122.4695887
107-03240,-,0,Green,SS,N,N,SFMTA,ON,0,324,07TH AVE,352000,Area 3,,37.7822025,-122.4653732
103-13820,-,0,Grey,SS,N,N,SFMTA,ON,0,1382,03RD AVE,162000,Area 3,,37.7631097,-122.4597339
382-00060,-,0,Grey,SS,N,N,SFMTA,ON,0,6,DESMOND ST,4720000,Area 3,,37.71138897,-122.4049662
109-02920,-,0,Grey,SS,N,N,SFMTA,ON,0,292,09TH AVE,424000,Area 3,,37.7831089,-122.467582
109-12260,-,0,Grey,SS,N,N,SFMTA,ON,0,1226,09TH AVE,431000,Area 3,,37.7651972,-122.4663224
109-13260,-,0,Grey,SS,N,N,SFMTA,ON,0,1326,09TH AVE,432000,Area 3,,37.7633326,-122.4661817
109-13380,-,0,Grey,SS,N,N,SFMTA,ON,0,1338,09TH AVE,432000,Area 3,,37.7631028,-122.4661657
365-06070,-,0,Grey,SS,N,N,SFMTA,ON,0,607,CORTLAND AVE,4427000,Area 3,,37.7390315,-122.4156335
365-07040,-,0,Grey,SS,N,N,SFMTA,ON,0,704,CORTLAND AVE,4428000,Area 3,,37.7388541,-122.4149419
841-00240,841-00002,24,Grey,MS,N,N,PORT,ON,0,24,GREEN ST,6438001,Port 6,,37.8007171,-122.3998888
109-03400,-,0,Grey,SS,N,N,SFMTA,ON,0,340,09TH AVE,425000,Area 3,,37.78206528,-122.4675064
120-12970,-,0,Grey,SS,N,N,SFMTA,ON,0,1297,20TH AVE,1005000,Area 3,,37.763685,-122.4783021
357-07020,-,0,Grey,SS,N,N,SFMTA,ON,0,702,CHENERY ST,3927000,Area 3,,37.7345667,-122.4340788
383-28140,-,0,Grey,SS,N,N,SFMTA,ON,0,2814,DIAMOND ST,4771000,Area 3,,37.7340769,-122.4340714
383-28150,-,0,Grey,SS,N,N,SFMTA,ON,0,2815,DIAMOND ST,4771000,Area 3,,37.7340632,-122.4339122
360-07010,-,0,Grey,SS,N,N,SFMTA,ON,0,701,CLEMENT ST,4157000,Area 3,,37.7827688,-122.4666966
650-36390,-,0,Yellow,SS,N,N,SFMTA,ON,0,3639,SACRAMENTO ST,11268000,Area 3,,37.787314,-122.4534146
490-21220,-,0,Grey,SS,N,N,SFMTA,ON,0,2122,IRVING ST,7299000,Area 3,,37.7634547,-122.4811771
545-00570,-,0,Grey,SS,N,N,SFMTA,ON,0,57,LELAND AVE,8293000,Area 3,,37.7116608,-122.4050737
440-27290,-,0,Grey,SS,N,N,SFMTA,ON,0,2729,GEARY BLVD,6047101,Area 3,,37.7821293,-122.4488416
440-28130,-,0,Grey,SS,N,N,SFMTA,ON,0,2813,GEARY BLVD,6047102,Area 3,,37.7820813,-122.4492842
440-28140,-,0,Grey,SS,N,N,SFMTA,ON,0,2814,GEARY BLVD,6047203,Area 3,,37.7823064,-122.4496789
490-22270,-,0,Grey,SS,N,N,SFMTA,ON,0,2227,IRVING ST,7300000,Area 3,,37.7632787,-122.4820517
613-06620,-,0,Grey,SS,N,N,SFMTA,ON,0,662,PORTOLA DR,10615102,Area 3,,37.7448716,-122.45267
360-07140,-,0,Grey,SS,N,N,SFMTA,ON,0,714,CLEMENT ST,4157000,Area 3,,37.7828962,-122.4671609
360-08070,-,0,Grey,SS,N,N,SFMTA,ON,0,807,CLEMENT ST,4158000,Area 3,,37.7827137,-122.4679006
121-12980,-,0,Grey,SS,N,N,SFMTA,ON,0,1298,21ST AVE,1079000,Area 3,,37.7636333,-122.4792088
124-13010,-,0,Grey,SS,N,N,SFMTA,ON,0,1301,24TH AVE,1299000,Area 3,,37.7631756,-122.4825618
666-11300,-,0,Yellow,SS,N,N,SFMTA,ON,0,1130,SUTTER ST,12329000,Area 3,,37.7879198,-122.4193209
440-34090,-,0,Green,SS,N,N,SFMTA,ON,0,3409,GEARY BLVD,6054101,Area 3,,37.7812724,-122.455647
440-17410,-,0,Grey,SS,Y,N,SFMTA,ON,0,1741,GEARY BLVD,6041102,Area 5,Fillmore,37.7842101,-122.4324773
214-03200,-,0,Grey,SS,N,N,SFMTA,ON,0,320,14TH ST,586000,Area 3,,37.7682747,-122.420876
211-02050,-,0,Grey,SS,N,N,SFMTA,ON,0,205,11TH ST,512000,Area 3,,37.7729734,-122.4152715
211-02250,-,0,Grey,SS,N,N,SFMTA,ON,0,225,11TH ST,513000,Area 3,,37.7726361,-122.4148486
327-07210,-,0,Grey,SS,N,N,SFMTA,ON,0,721,BROADWAY,3155000,Area 3,,37.79745,-122.4093833
411-02420,411-02004,42,Grey,MS,Y,N,SFMTA,ON,0,242,FELL ST,5441000,Area 5,Civic Center,37.7760436,-122.4225841
443-03260,-,0,Grey,SS,Y,N,SFMTA,ON,0,326,GOUGH ST,6318000,Area 5,Civic Center,37.7766097,-122.422839
415-12080,-,0,Grey,SS,Y,N,SFMTA,ON,0,1208,FILLMORE ST,5543000,Area 5,Fillmore,37.7807896,-122.4321318
211-02560,-,0,Grey,SS,N,N,SFMTA,ON,0,256,11TH ST,514000,Area 3,,37.7718952,-122.4142127
331-08650,-,0,Green,SS,N,N,SFMTA,ON,0,865,BRYANT ST,3292000,Area 3,,37.7745615,-122.4042347
363-04120,-,0,Grey,SS,N,N,SFMTA,ON,0,412,COLUMBUS AVE,4294000,Area 3,,37.7990071,-122.4081599
415-21020,-,0,Grey,SS,Y,N,SFMTA,ON,0,2102,FILLMORE ST,5553000,Area 5,Fillmore,37.7890793,-122.4338066
336-12360,-,0,Grey,SS,N,N,SFMTA,ON,0,1236,BUSH ST,3442000,Area 3,,37.78903121,-122.418171
336-13380,-,0,Grey,SS,N,N,SFMTA,ON,0,1338,BUSH ST,3443000,Area 3,,37.7888132,-122.4198892
666-20290,-,0,Grey,SS,Y,N,SFMTA,ON,0,2029,SUTTER ST,12339000,Area 5,Fillmore,37.7859186,-122.4341598
549-22030,-,0,Grey,SS,Y,N,SFMTA,ON,0,2203,LOMBARD ST,8461101,Area 5,Marina,37.7994979,-122.4378879
350-14400,-,0,Grey,SS,N,N,SFMTA,ON,0,1440,CALIFORNIA ST,3547000,Area 3,,37.7909079,-122.4187153
401-07110,-,0,Grey,SS,N,N,SFMTA,ON,0,711,ELLIS ST,5178000,Area 3,,37.7841206,-122.4182124
401-07150,-,0,Grey,SS,N,N,SFMTA,ON,0,715,ELLIS ST,5178000,Area 3,,37.7841114,-122.4182848
462-04250,-,0,Grey,SS,N,N,SFMTA,ON,0,425,HAIGHT ST,6607000,Area 3,,37.7721415,-122.4296835
402-01280,-,0,Grey,SS,N,N,SFMTA,ON,0,128,ELM ST,5202000,Area 5,Civic Center,37.7816164,-122.4198247
359-07250,-,0,Yellow,SS,N,N,SFMTA,ON,0,725,CLAY ST,4088000,Area 5,Downtown,37.7943018,-122.4056783
542-07010,-,0,Grey,SS,N,N,SFMTA,ON,0,701,LARKIN ST,8128000,Area 3,,37.7844044,-122.4178214
668-09960,-,0,Grey,SS,N,N,SFMTA,ON,0,996,SHOTWELL ST,11841000,Area 3,,37.752595,-122.4152345
442-05300,-,0,Grey,SS,N,N,SFMTA,ON,0,530,GOLDEN GATE AVE,6265000,Area 5,Civic Center,37.7811897,-122.4197242
650-07070,-,0,Grey,SS,N,N,SFMTA,ON,0,707,SACRAMENTO ST,11228000,Area 5,Downtown,37.7934734,-122.4050119
650-07330,-,0,Yellow,SS,N,N,SFMTA,ON,0,733,SACRAMENTO ST,11228000,Area 5,Downtown,37.7933871,-122.405689
700-05200,-,0,Grey,SS,Y,N,SFMTA,ON,0,520,VALENCIA ST,13060000,Area 5,Mission,37.7643324,-122.4219388
700-05310,-,0,Grey,SS,Y,N,SFMTA,ON,0,531,VALENCIA ST,13060000,Area 5,Mission,37.7641635,-122.4217058
700-06170,-,0,Grey,SS,Y,N,SFMTA,ON,0,617,VALENCIA ST,13062000,Area 5,Mission,37.7628373,-122.4215788
472-01310,-,0,Yellow,SS,N,N,SFMTA,ON,0,131,HYDE ST,7115000,Area 5,Civic Center,37.782428,-122.4157389
542-03080,542-03002,8,Grey,MS,Y,N,SFMTA,ON,0,308,LARKIN ST,8123000,Area 5,Civic Center,37.780817,-122.4169405
725-02040,-,0,Grey,SS,N,N,SFMTA,ON,0,204,WEST PORTAL AVE,13578201,Area 3,,37.7388327,-122.4682225
