POST_ID,MS_ID,MS_SPACEID,CAP_COLOR,METER_TYPE,SMART_METE,ACTIVESENS,JURISDICTI,ON_OFF_STR,OSP_ID,STREET_NUM,STREETNAME,STREET_SEG,RATEAREA,SFPARKAREA,LATITUDE,LONGITUDE
124-04030,-,0,Grey,SS,N,N,SFMTA,ON,0,403,24TH AVE,1293000,Area 3,,37.7818204,-122.4838565
124-04060,-,0,Grey,SS,N,N,SFMTA,ON,0,406,24TH AVE,1293000,Area 3,,37.7818163,-122.4837176
691-00250,-,0,Grey,SS,N,N,SFMTA,ON,0,25,UNION ST,12832000,Area 3,,37.8014339,-122.4007232
581-12220,-,0,Grey,SS,N,N,SFMTA,ON,0,1222,NORIEGA ST,9653000,Area 3,,37.7542822,-122.4770791
581-13210,-,0,Grey,SS,N,N,SFMTA,ON,0,1321,NORIEGA ST,9654000,Area 3,,37.7540779,-122.4784285
359-16390,-,0,Black,SS,N,N,SFMTA,ON,0,1639,CLAY ST,4105000,MC3,,37.7924149,-122.4203802
605-00210,-,0,Grey,SS,N,N,SFMTA,ON,0,21,PAGE ST,10169000,Area 5,Civic Center,37.7741367,-122.4215767
670-01243,670-01240,3,Grey,MS,N,N,SFMTA,ON,0,124,STILLMAN ST,12192000,Area 5,South Embarcadero,37.7813956,-122.3968761
670-01645,670-01640,5,Grey,MS,N,N,SFMTA,ON,0,168,STILLMAN ST,12192000,Area 5,South Embarcadero,37.78035,-122.3981819
581-14170,-,0,Grey,SS,N,N,SFMTA,ON,0,1417,NORIEGA ST,9655000,Area 3,,37.7540216,-122.4792705
680-17010,-,0,Yellow,SS,N,N,SFMTA,ON,0,1701,TARAVAL ST,12403000,Area 3,,37.7425844,-122.4844041
583-02580,-,0,Grey,SS,N,N,SFMTA,ON,0,258,NOE ST,9611000,Area 3,,37.7647643,-122.4332274
210-02380,-,0,Grey,SS,N,N,SFMTA,ON,0,238,10TH ST,487000,Area 2,,37.7732367,-122.4135028
210-02480,-,0,Grey,SS,N,N,SFMTA,ON,0,248,10TH ST,487000,Area 2,,37.7731137,-122.4133486
720-02120,720-02002,12,Grey,MS,Y,N,SFMTA,ON,0,212,WASHINGTON ST,13405000,Area 5,Downtown,37.7961609,-122.3987361
666-07420,-,0,Grey,SS,N,N,SFMTA,ON,0,742,SUTTER ST,12325000,Area 2,,37.7886935,-122.4132737
705-06320,-,0,Grey,SS,N,N,SFMTA,ON,0,632,VALLEJO ST,13094000,Area 3,,37.7986671,-122.4084584
470-13200,-,0,Grey,SS,N,N,SFMTA,ON,0,1320,HOWARD ST,7053000,Area 2,,37.774603,-122.4138025
470-13280,-,0,Grey,SS,N,N,SFMTA,ON,0,1328,HOWARD ST,7054000,Area 2,,37.7744706,-122.4139702
705-15050,-,0,Grey,SS,N,N,SFMTA,ON,0,1505,VALLEJO ST,13108000,Area 3,,37.7968097,-122.4222263
490-14260,-,0,Grey,SS,N,N,SFMTA,ON,0,1426,IRVING ST,7292000,Area 3,,37.7638035,-122.4734383
490-14400,-,0,Grey,SS,N,N,SFMTA,ON,0,1440,IRVING ST,7292000,Area 3,,37.7637909,-122.4737237
470-14070,-,0,Grey,SS,N,N,SFMTA,ON,0,1407,HOWARD ST,7056000,Area 3,,37.7737912,-122.4145435
470-14200,-,0,Yellow,SS,N,N,SFMTA,ON,0,1420,HOWARD ST,7056000,Area 3,,37.7737003,-122.4149455
440-35350,-,0,Green,SS,N,N,SFMTA,ON,0,3535,GEARY BLVD,6055101,Area 3,,37.7811903,-122.4575012
700-14440,-,0,Grey,SS,Y,N,SFMTA,ON,0,1444,VALENCIA ST,13074000,Area 3,,37.749252,-122.4204948
411-03210,411-03003,21,Grey,MS,Y,N,SFMTA,ON,0,321,FELL ST,5442000,Area 5,Civic Center,37.7757742,-122.4236341
443-08130,443-08001,13,Grey,MS,Y,N,SFMTA,ON,0,813,GOUGH ST,6325000,Area 5,Civic Center,37.7810043,-122.4238958
443-08060,443-08002,6,Green,MS,Y,N,SFMTA,ON,0,806,GOUGH ST,6325000,Area 5,Civic Center,37.7808119,-122.4236861
443-09030,443-09001,3,Grey,MS,Y,N,SFMTA,ON,0,903,GOUGH ST,6327000,Area 5,Civic Center,37.7816968,-122.4240358
443-12200,443-12004,20,Grey,MS,Y,N,SFMTA,ON,0,1220,GOUGH ST,6330000,Area 3,,37.7849098,-122.4245147
443-12240,443-12004,24,Grey,MS,Y,N,SFMTA,ON,0,1224,GOUGH ST,6330000,Area 3,,37.7850198,-122.424537
619-00210,619-00001,21,Grey,MS,Y,N,SFMTA,ON,0,21,PETER YORKE WAY,10384000,Area 3,,37.7857859,-122.4239601
612-14220,-,0,Grey,SS,N,N,SFMTA,ON,0,1422,POLK ST,10569000,Area 3,,37.7901466,-122.4205215
462-18250,-,0,Yellow,SS,N,N,SFMTA,ON,0,1825,HAIGHT ST,6624000,Area 3,,37.7692382,-122.4524792
440-53270,-,0,Green,SS,N,N,SFMTA,ON,0,5327,GEARY BLVD,6074101,Area 3,,37.7803065,-122.4770501
440-54190,-,0,Grey,SS,N,N,SFMTA,ON,0,5419,GEARY BLVD,6075101,Area 3,,37.7802706,-122.4778442
440-54250,-,0,Grey,SS,N,N,SFMTA,ON,0,5425,GEARY BLVD,6075101,Area 3,,37.7802624,-122.4780252
650-17170,-,0,Grey,SS,N,N,SFMTA,ON,0,1717,SACRAMENTO ST,11248000,Area 3,,37.7913578,-122.4215407
650-17340,-,0,Grey,SS,N,N,SFMTA,ON,0,1734,SACRAMENTO ST,11248000,Area 3,,37.7914322,-122.4218058
650-17510,-,0,Grey,SS,N,N,SFMTA,ON,0,1751,SACRAMENTO ST,11248000,Area 3,,37.7912783,-122.4221715
419-14040,-,0,Grey,SS,N,N,SFMTA,ON,0,1404,FRANKLIN ST,5821000,Area 3,,37.7875647,-122.4233603
440-55090,-,0,Grey,SS,N,N,SFMTA,ON,0,5509,GEARY BLVD,6076101,Area 3,,37.7802327,-122.4786778
446-00360,446-00002,36,Grey,MS,Y,N,SFMTA,ON,0,36,GROVE ST,6552000,Area 5,Civic Center,37.7787609,-122.4162263
472-08300,-,0,Grey,SS,N,N,SFMTA,ON,0,830,HYDE ST,7123000,Area 3,,37.7889692,-122.4169103
472-09250,-,0,Grey,SS,N,N,SFMTA,ON,0,925,HYDE ST,7124000,Area 3,,37.78972,-122.4172162
542-10160,-,0,Yellow,SS,N,N,SFMTA,ON,0,1016,LARKIN ST,8135000,Area 3,,37.7875681,-122.4183006
611-06030,-,0,Yellow,SS,N,N,SFMTA,ON,0,603,PARNASSUS AVE,10294000,Area 3,,37.7628132,-122.4599544
210-03020,-,0,Grey,SS,N,N,SFMTA,ON,0,302,10TH ST,488000,Area 3,,37.7726181,-122.4127274
